N;Kernel;Method;Setting;Time;MEM;Iterations;AUC
1000;Linear;RLScore;Setting 1;0.0028264080010558246;0.000218186;1;0.6780659298780487
1000;Linear;Kernel;Setting 1;4.553109938999114;0.008248041;1;0.6780659298780487
1000;Linear;RLScore;Setting 2;0.0018643489984242478;0.000364802;1;0.6507763684507246
1000;Linear;Kernel;Setting 2;4.530516483999236;0.008246705;1;0.6507763684507246
1000;Linear;RLScore;Setting 3;0.002042753998466651;0.000364034;1;0.6510997029274721
1000;Linear;Kernel;Setting 3;4.447041296998577;0.008246705;1;0.6510997029274721
1000;Linear;RLScore;Setting 4;0.0021468989998538746;0.000364034;1;0.6209875477869372
1000;Linear;Kernel;Setting 4;4.5308657479999965;0.008246705;1;0.6209875477869372
1000;Poly2D;RLScore;Setting 1;0.002711396000449895;0.000436114;1;0.6796017530487806
1000;Poly2D;Kernel;Setting 1;9.059547466000367;0.008247753;1;0.6796017530487806
1000;Poly2D;RLScore;Setting 2;0.002428543999485555;0.000288339;1;0.6515947959287458
1000;Poly2D;Kernel;Setting 2;9.19243846000063;0.008246705;1;0.6515947959287458
1000;Poly2D;RLScore;Setting 3;0.0028891969996038824;0.000435922;1;0.65190320438739
1000;Poly2D;Kernel;Setting 3;9.206302137999955;0.008246705;1;0.65190320438739
1000;Poly2D;RLScore;Setting 4;0.002497370000128285;0.000288339;1;0.6213858120536874
1000;Poly2D;Kernel;Setting 4;9.404717924999204;0.008246705;1;0.6213858120536874
1000;Kronecker;RLScore;Setting 1;0.0014284490007412387;0.000305134;1;0.6844359756097561
1000;Kronecker;Kernel;Setting 1;4.437516093999875;0.008247753;1;0.6844359756097561
1000;Kronecker;RLScore;Setting 2;0.0029631550005433382;0.000178071;6;0.6349755986962016
1000;Kronecker;Kernel;Setting 2;4.305521653999676;0.008263305;6;0.6349755986962016
1000;Kronecker;RLScore;Setting 3;0.0016207400003622752;0.000159759;1;0.658296435772376
1000;Kronecker;Kernel;Setting 3;4.434031307000623;0.008246705;1;0.658296435772376
1000;Kronecker;RLScore;Setting 4;0.005344909000996267;0.000325654;12;0.6029820702429238
1000;Kronecker;Kernel;Setting 4;4.484960387999308;0.008263305;12;0.6029294845130555
1000;Symmetric;RLScore;Setting 1;0.006508013999336981;0.000393774;9;0.6703935045360396
1000;Symmetric;Kernel;Setting 1;9.021635320001224;0.008263849;9;0.6703938292212592
1000;Symmetric;RLScore;Setting 2;0.005188238999835448;0.000246127;7;0.6381458121761582
1000;Symmetric;Kernel;Setting 2;9.148736146000374;0.008263305;7;0.6381458677245967
1000;Symmetric;RLScore;Setting 3;0.008117585000945837;0.00039371;12;0.6321217272230322
1000;Symmetric;Kernel;Setting 3;8.943609488998845;0.008263305;12;0.6321076930030172
1000;Symmetric;RLScore;Setting 4;0.007870957000704948;0.00039371;12;0.6076869639120128
1000;Symmetric;Kernel;Setting 4;9.297010431000672;0.008263305;12;0.6076755741220349
1000;MLPK;RLScore;Setting 1;0.05010316399966541;0.000825718;23;0.6367101151002363
1000;MLPK;Kernel;Setting 1;9.685603369998717;0.008264337;23;0.6367509151855049
1000;MLPK;RLScore;Setting 2;0.07524983499934024;0.000825742;36;0.555343290999275
1000;MLPK;Kernel;Setting 2;9.767747612999301;0.008263305;36;0.5544744911584398
1000;MLPK;RLScore;Setting 3;0.058371079998323694;0.000677495;27;0.5555949526607572
1000;MLPK;Kernel;Setting 3;9.755065755000032;0.008263305;27;0.5555950083353841
1000;MLPK;RLScore;Setting 4;0.03475609699853521;0.000660175;15;0.4957853685572021
1000;MLPK;Kernel;Setting 4;9.748295416000474;0.008263305;15;0.49578541779827345
2000;Linear;RLScore;Setting 1;0.0028719900001306087;0.000436995;1;0.6205231725580361
2000;Linear;Kernel;Setting 1;18.226297399000032;0.032343273;1;0.6205231725580361
2000;Linear;RLScore;Setting 2;0.002742789998592343;0.000427859;1;0.6315847576286149
2000;Linear;Kernel;Setting 2;17.80206660099975;0.032343273;1;0.6315847576286149
2000;Linear;RLScore;Setting 3;0.0027270929986116244;0.000575442;1;0.6313365509240816
2000;Linear;Kernel;Setting 3;17.70976443499967;0.032343273;1;0.6313365509240816
2000;Linear;RLScore;Setting 4;0.0028520679989014752;0.000575442;1;0.6220856164324532
2000;Linear;Kernel;Setting 4;17.322752691999995;0.032343273;1;0.6220856164324532
2000;Poly2D;RLScore;Setting 1;0.022978942999543506;0.000731606;13;0.6768563188444876
2000;Poly2D;Kernel;Setting 1;37.01280441699964;0.032375873;13;0.6767524713872928
2000;Poly2D;RLScore;Setting 2;0.014842945000054897;0.000732534;8;0.6779439344863345
2000;Poly2D;Kernel;Setting 2;36.4094198519997;0.032375897;8;0.6779439307781412
2000;Poly2D;RLScore;Setting 3;0.011474377999547869;0.000576587;6;0.6707683961784567
2000;Poly2D;Kernel;Setting 3;36.463041913999405;0.032375897;6;0.6707683961784567
2000;Poly2D;RLScore;Setting 4;0.016093289999844274;0.000732534;9;0.6600917394985168
2000;Poly2D;Kernel;Setting 4;36.43477420800082;0.032375897;9;0.6600917970505739
2000;Kronecker;RLScore;Setting 1;0.010818112999913865;0.000350767;8;0.6946538600282028
2000;Kronecker;Kernel;Setting 1;17.49592128400036;0.032375873;8;0.6946538600282028
2000;Kronecker;RLScore;Setting 2;0.006393304000084754;0.000495926;8;0.6695277007387301
2000;Kronecker;Kernel;Setting 2;17.868670882000515;0.032375897;8;0.6695277224664254
2000;Kronecker;RLScore;Setting 3;0.004881840999587439;0.000493718;6;0.6642102438448326
2000;Kronecker;Kernel;Setting 3;17.41685520899955;0.032376369;6;0.6642102438448326
2000;Kronecker;RLScore;Setting 4;0.006321759999991627;0.000493718;8;0.6543294558036754
2000;Kronecker;Kernel;Setting 4;17.589816116000293;0.032375873;8;0.6543294716236361
2000;Symmetric;RLScore;Setting 1;0.010820830000739079;0.000629182;8;0.7063122837334781
2000;Symmetric;Kernel;Setting 1;36.49026333599977;0.032375873;8;0.70631068624477
2000;Symmetric;RLScore;Setting 2;0.017540454000481986;0.000629118;12;0.6537022061882316
2000;Symmetric;Kernel;Setting 2;36.355481732000044;0.032375897;12;0.6536476371498618
2000;Symmetric;RLScore;Setting 3;0.008526920000804239;0.000476903;6;0.6666397722793045
2000;Symmetric;Kernel;Setting 3;35.723341941999024;0.032375873;6;0.666639763269848
2000;Symmetric;RLScore;Setting 4;0.01078068000060739;0.000481535;8;0.656473923883128
2000;Symmetric;Kernel;Setting 4;38.1209988269984;0.032375897;8;0.656473926893191
2000;MLPK;RLScore;Setting 1;0.19553896599973086;0.001454574;43;0.6865691187114342
2000;MLPK;Kernel;Setting 1;39.34341357499943;0.032375873;43;0.6867519214669559
2000;MLPK;RLScore;Setting 2;0.15194049599995196;0.001306351;33;0.572811765316007
2000;MLPK;Kernel;Setting 2;38.8959638489996;0.032375897;33;0.5728091845342043
2000;MLPK;RLScore;Setting 3;0.20050865100165538;0.001306351;44;0.5765865397039198
2000;MLPK;Kernel;Setting 3;38.26106647600136;0.032375897;44;0.5766291447427176
2000;MLPK;RLScore;Setting 4;0.12993508299950918;0.001453598;28;0.49500081862607026
2000;MLPK;Kernel;Setting 4;38.49724136199984;0.032375761;28;0.4950008490700495
4000;Linear;RLScore;Setting 1;0.0077894519999972545;0.000918127;2;0.6147554552303913
4000;Linear;Kernel;Setting 1;72.1529107059996;0.128567857;2;0.6147554552303913
4000;Linear;RLScore;Setting 2;0.0053811340003449;0.000991634;1;0.6199599713033463
4000;Linear;Kernel;Setting 2;71.89199999399898;0.128535329;1;0.6199599713033463
4000;Linear;RLScore;Setting 3;0.0049488549993839115;0.000991634;1;0.6198505719552136
4000;Linear;Kernel;Setting 3;70.46466325599977;0.128535305;1;0.6198505719552136
4000;Linear;RLScore;Setting 4;0.005341587999282638;0.000844051;1;0.6269783442918822
4000;Linear;Kernel;Setting 4;71.45508522599994;0.128535329;1;0.6269783442918822
4000;Poly2D;RLScore;Setting 1;0.03352808999989065;0.001288174;8;0.6917021137585968
4000;Poly2D;Kernel;Setting 1;146.44085326599998;0.128599905;8;0.6917022327651445
4000;Poly2D;RLScore;Setting 2;0.044995222999205;0.001145207;10;0.6649360461625058
4000;Poly2D;Kernel;Setting 2;145.97672673299894;0.128599905;10;0.6649452386876411
4000;Poly2D;RLScore;Setting 3;0.04054747200098063;0.00129279;10;0.6621263672560663
4000;Poly2D;Kernel;Setting 3;143.89995577599984;0.128599905;10;0.6621357044920568
4000;Poly2D;RLScore;Setting 4;0.05474984800093807;0.00129279;14;0.6582412569947371
4000;Poly2D;Kernel;Setting 4;144.14168627599975;0.128599929;14;0.6582411769819279
4000;Kronecker;RLScore;Setting 1;0.012991878000320867;0.000834478;8;0.6831999289768924
4000;Kronecker;Kernel;Setting 1;72.30812286699984;0.128599905;8;0.6831999289768924
4000;Kronecker;RLScore;Setting 2;0.015328955998484162;0.000684471;6;0.6714350246872107
4000;Kronecker;Kernel;Setting 2;71.92336971399891;0.128599929;6;0.6714350246872107
4000;Kronecker;RLScore;Setting 3;0.010380702999100322;0.000829846;6;0.6709177575104868
4000;Kronecker;Kernel;Setting 3;71.77737152800182;0.128599905;6;0.6709177575104868
4000;Kronecker;RLScore;Setting 4;0.02006016300219926;0.000832054;13;0.6494529222216262
4000;Kronecker;Kernel;Setting 4;70.85351489800087;0.128599905;13;0.6494551620723357
4000;Symmetric;RLScore;Setting 1;0.019911642997612944;0.001088742;7;0.6924389072114131
4000;Symmetric;Kernel;Setting 1;148.73602893100178;0.128599905;7;0.6924389665120603
4000;Symmetric;RLScore;Setting 2;0.01767025799927069;0.000945727;6;0.6722334909050731
4000;Symmetric;Kernel;Setting 2;142.59624202100167;0.128599929;6;0.6722334872824567
4000;Symmetric;RLScore;Setting 3;0.01817287200174178;0.00109331;6;0.6722334909050731
4000;Symmetric;Kernel;Setting 3;141.9792093119977;0.128599929;6;0.6722334872824567
4000;Symmetric;RLScore;Setting 4;0.029298891997314058;0.00109331;10;0.6501582705007285
4000;Symmetric;Kernel;Setting 4;146.6654460059981;0.128599929;10;0.6501723844532745
4000;MLPK;RLScore;Setting 1;0.43726614600018365;0.002687428;38;0.6861143074689571
4000;MLPK;Kernel;Setting 1;152.91106247599964;0.128599945;38;0.6861210578936263
4000;MLPK;RLScore;Setting 2;0.5965236660013034;0.002686916;52;0.5626285095109009
4000;MLPK;Kernel;Setting 2;155.8004162790021;0.128599817;52;0.5626105064142869
4000;MLPK;RLScore;Setting 3;0.5157526299990423;0.002687428;45;0.5611233456235736
4000;MLPK;Kernel;Setting 3;156.32136650400207;0.128599817;45;0.5611237045519615
4000;MLPK;RLScore;Setting 4;0.1344480379993911;0.002670823;11;0.4501409124555782
4000;MLPK;Kernel;Setting 4;153.02954733099978;0.128599793;11;0.4501409211964935
8000;Linear;RLScore;Setting 1;0.031680344000051264;0.00201838;4;0.6589912458936134
8000;Linear;Kernel;Setting 1;281.80223323399696;0.513048137;4;0.6589912458936134
8000;Linear;RLScore;Setting 2;0.033816979001130676;0.002022766;4;0.6500190801466085
8000;Linear;Kernel;Setting 2;284.98545258599916;0.513048161;4;0.6500190801466085
8000;Linear;RLScore;Setting 3;0.043677560999640264;0.002022766;4;0.6503985724786013
8000;Linear;Kernel;Setting 3;284.2500159230003;0.513048161;4;0.6503985724786013
8000;Linear;RLScore;Setting 4;0.017516907999379328;0.001958598;2;0.6316297484219655
8000;Linear;Kernel;Setting 4;284.10973787200055;0.512984113;2;0.6316297484219655
8000;Poly2D;RLScore;Setting 1;0.09900790399842663;0.002413586;8;0.7054433947120597
8000;Poly2D;Kernel;Setting 1;585.0234438219995;0.513048137;8;0.705443364442087
8000;Poly2D;RLScore;Setting 2;0.07532892500239541;0.002415004;7;0.6917571787545723
8000;Poly2D;Kernel;Setting 2;584.2335449940001;0.513048161;7;0.6917571769711788
8000;Poly2D;RLScore;Setting 3;0.12137254199842573;0.002413544;8;0.6953590905686733
8000;Poly2D;Kernel;Setting 3;576.2784556940023;0.513048161;8;0.6953591033906581
8000;Poly2D;RLScore;Setting 4;0.0911846430026344;0.002414646;8;0.6774956685337341
8000;Poly2D;Kernel;Setting 4;575.4205546249977;0.513048161;8;0.6774956832092691
8000;Kronecker;RLScore;Setting 1;0.016308221998770023;0.001355191;4;0.6990741686677389
8000;Kronecker;Kernel;Setting 1;280.97820287799914;0.513048137;4;0.6990741686677389
8000;Kronecker;RLScore;Setting 2;0.01618203900216031;0.001504982;4;0.6875021443040092
8000;Kronecker;Kernel;Setting 2;282.7894297230014;0.513048137;4;0.6875021443040092
8000;Kronecker;RLScore;Setting 3;0.016388821000873577;0.001504982;4;0.6873552278337496
8000;Kronecker;Kernel;Setting 3;281.2872047899982;0.513048161;4;0.6873552278337496
8000;Kronecker;RLScore;Setting 4;0.01691558300080942;0.001502774;4;0.6695289151139276
8000;Kronecker;Kernel;Setting 4;277.7051965399987;0.513048137;4;0.6695289151139276
8000;Symmetric;RLScore;Setting 1;0.07296075499834842;0.002018492;7;0.7089447834219862
8000;Symmetric;Kernel;Setting 1;573.5986005310006;0.513048137;7;0.7089453255752414
8000;Symmetric;RLScore;Setting 2;0.030249178998928983;0.002022702;4;0.6875087507088755
8000;Symmetric;Kernel;Setting 2;575.8800097200001;0.513048137;4;0.6875087418188266
8000;Symmetric;RLScore;Setting 3;0.07164611199914361;0.002022702;8;0.6879746949322372
8000;Symmetric;Kernel;Setting 3;564.3044252619984;0.513048161;8;0.6879747540910748
8000;Symmetric;RLScore;Setting 4;0.0307007759984117;0.00201807;4;0.6696742398133053
8000;Symmetric;Kernel;Setting 4;572.3299260269996;0.513048137;4;0.6696742400866251
8000;MLPK;RLScore;Setting 1;2.466976183997758;0.005156532;63;0.7191522067687134
8000;MLPK;Kernel;Setting 1;621.6189960709999;0.513048025;63;0.7192061221032819
8000;MLPK;RLScore;Setting 2;1.9196645629999693;0.005156596;52;0.6009326281988565
8000;MLPK;Kernel;Setting 2;626.9181002719997;0.513048049;52;0.6008945876595668
8000;MLPK;RLScore;Setting 3;1.7341488849997404;0.005156404;50;0.5999906623384232
8000;MLPK;Kernel;Setting 3;646.3339961389975;0.513048049;50;0.600385173140044
8000;MLPK;RLScore;Setting 4;0.17858987499857903;0.00513827;5;0.4509374429392704
8000;MLPK;Kernel;Setting 4;653.8911076660006;0.513048137;5;0.450937412700368
16000;Linear;RLScore;Setting 1;0.31436432999907993;0.003879516;15;0.6549717985666248
16000;Linear;Kernel;Setting 1;1199.9971506500005;2.049943321;15;0.6549717985666248
16000;Linear;RLScore;Setting 2;0.4271239199988486;0.0038749;21;0.6416003627798732
16000;Linear;Kernel;Setting 2;1163.5382123559975;2.049943321;21;0.6416003670199615
16000;Linear;RLScore;Setting 3;0.4988470079988474;0.0038749;22;0.6402354246896413
16000;Linear;Kernel;Setting 3;1165.025182895999;2.049943321;22;0.6402354246414586
16000;Linear;RLScore;Setting 4;0.08751330100130872;0.003871304;4;0.6296378040230688
16000;Linear;Kernel;Setting 4;1202.0556726640025;2.049943345;4;0.6296378040232342
16000;Poly2D;RLScore;Setting 1;0.290037235005002;0.004644756;9;0.7152845729913263
16000;Poly2D;Kernel;Setting 1;2421.778381283002;2.049943345;9;0.7152844797132109
16000;Poly2D;RLScore;Setting 2;0.23778536100144265;0.004650226;8;0.6939013040125803
